num,Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
2325,motthegioi.vn,0,0,1,2,0,0,0,0,1,1,1,1,0,0,1,0,0
937,persianblog.ir,0,0,1,4,0,0,0,0,1,1,1,1,1,1,1,1,0
7397,zend-framework-community.634137.n4.nabble.com,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1
9028,icipedudu-my.sharepoint.com,0,0,1,7,0,0,1,1,0,0,1,1,0,0,1,0,1
4057,elitedaily.com,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,0,0
9066,vitinhopark.com.br,0,0,1,8,0,0,0,0,0,1,1,1,0,0,1,0,1
1596,hollywoodlife.com,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,0,0
3248,thenextweb.com,0,0,1,5,0,0,0,0,0,1,0,0,0,0,1,1,0
8403,fredwilliams.publishpath.com,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1
491,aljazeera.net,0,0,1,6,0,0,0,0,0,1,1,1,0,0,1,0,0
7216,kmind.cl,0,0,1,7,0,0,0,0,0,1,0,1,0,0,1,0,1
4534,fortune.com,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,0,0
6077,www34.presentes-promocoes-premier.com,0,0,1,6,0,0,0,1,0,1,0,1,0,0,1,0,1
8985,firebasestorage.googleapis.com,0,0,1,5,0,0,1,0,1,1,1,1,0,0,1,0,1
4940,allrecipes.com,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,1,0
1592,otomoto.pl,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,0,0
5484,psicoinspire.com.br,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1
1006,mic.com,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,0
8939,standrew.co.kr,0,0,1,7,0,0,0,0,0,0,0,1,0,0,1,0,1
7592,veazieit.com,0,0,1,3,0,0,1,0,0,1,0,0,0,0,1,0,1
